0, 0, Header, 0, 1, 480
1, 0, Start_track
1, 0, Title_t, "Niewiara - z rep. Piekni i Mlodzi"
1, 0, Copyright_t, "Copyright © by MIDI-NET GROUP Sp. z o.o.  Wszelkie prawa zastrzezone!!! 2013"
1, 0, Text_t, "Ten plik MIDI zostal napisany przez muzykow firmy MIDI-NET GROUP Sp. z o.o.!!!\012"
1, 0, Text_t, "Kopiowanie surowo zabronione!!!\012"
1, 0, Text_t, "ul. Saperska 44b/10\012"
1, 0, Text_t, "61-493 Poznan\012"
1, 0, Text_t, "POLAND\012"
1, 0, Text_t, "www.utworki.pl\012"
1, 0, Text_t, "www.midi24.pl\012"
1, 0, Text_t, "biuro@utworki.pl\012"
1, 0, Text_t, "tel. 61 8 526 526\012"
1, 0, Text_t, "fax. 61 852 47 46\012"
1, 0, Text_t, "tel. kom. 516 900 007\012"
1, 0, Text_t, "tel. kom. 512 777 222\012"
1, 0, Text_t, "+++++++++++++++++++++++++++++++++++++++++++++\012"
1, 0, Text_t, "Szanowni Panstwo!!!\012"
1, 0, Text_t, "        Dziekujemy, ze zdecydowali sie Panstwo na zakupienie muzycznych\012"
1, 0, Text_t, "plikow MIDI FILE w naszym serwisie www.utworki.pl\012"
1, 0, Text_t, "        Tym samym udzielili Panstwo poparcia nie tylko naszej firmie, ale\012"
1, 0, Text_t, "rowniez artystom, autorom tekstow i wszystkim, ktorzy przyczynili sie do\012"
1, 0, Text_t, "powstania tego materialu.\012"
1, 0, Text_t, "        Pragniemy przypomniec, ze nasze pliki muzyczne sa chronione prawem \012"
1, 0, Text_t, "autorskim. W zwiazku z tym, ze nie posiadacie Panstwo stosownych praw\012"
1, 0, Text_t, "autorskich, prosimy, abyscie nie uzywali internetu do nielegalnego\012"
1, 0, Text_t, "kopiowania i rozpowszechniania prawnie chronionej muzyki, nie tworzyli\012"
1, 0, Text_t, "nielegalnych kopii i nie uzyczali innym osobom swoich plikow MIDI FILE.\012"
1, 0, Text_t, "W przeciwnym razie beda Panstwo dzialac na szkode nie tylko naszej\012"
1, 0, Text_t, "firmy, ale rowniez na szkode artystow i tworcow, co jest praktycznie\012"
